U+1100+U+1160+U+11A8	국가
U+1100+U+1160+U+11A9	공격
U+1100+U+1160+U+11FA	국민
U+1100+U+1160+U+11AB	기는 
U+1100+U+1160+U+11AC	건물
U+1100+U+1160+U+11AD	공간
U+1100+U+1160+U+11AF	결과
U+1100+U+1160+U+11B0	결국
U+1100+U+1160+U+11B5	공급
U+1100+U+1160+U+11B7	개념
U+1100+U+1160+U+11B8	고급
U+1100+U+1160+U+11BA	그것
U+1100+U+1160+U+11BC	광고
U+1100+U+1160+U+11C0	관념
U+1100+U+1160+U+11C1	깊은 
U+1100+U+1165+U+11FA	객관적
U+1100+U+117E	겨우 
U+1100+U+117E+U+11BC	구경
U+1100+U+116A+U+11FA	관객
U+1100+U+D7B0	그녀
U+1100+U+1189	구나
U+1100+U+1189+U+11A8	국내
U+1100+U+D7BB	계급
U+1100+U+D7BC	그곳
U+1100+U+1195	궁금
U+1100+U+1195+U+11AB	근무
U+1100+U+1198	가게
U+1100+U+1198+U+11AB	관계
U+1100+U+D7BE	경계
U+1100+U+D7BF	계약
U+1100+U+D7C0	기계
U+1100+U+D7C0+U+11A8	계획
U+1100+U+D7C4+U+11BC	경험
U+1100+U+119E	가는 
U+1100+U+119E+U+11AB	그만
U+1100+U+119E+U+11B7	같은 
U+1100+U+11A2	것은 
U+1100+U+11A2+U+11AB	근거
U+1100+U+11A2+U+11AF	것을 
U+1100+U+11A2+U+11B7	검은 
U+1101+U+1160+U+11A8	교육
U+1101+U+1160+U+11FA	약간
U+1101+U+1160+U+11AB	인간
U+1101+U+1160+U+11AC	연결
U+1101+U+1160+U+11AD	공연
U+1101+U+1160+U+11AF	얼굴
U+1101+U+1160+U+11B0	엄격
U+1101+U+1160+U+11B5	공업
U+1101+U+1160+U+11B7	금융
U+1101+U+1160+U+11B8	기업
U+1101+U+1160+U+11B9	끊임없
U+1101+U+1160+U+11BA	이것
U+1101+U+1160+U+11BC	경우
U+1101+U+1160+U+11BD	온갖 
U+1101+U+1160+U+11C0	같이 
U+1101+U+1160+U+11C1	깊이
U+1101+U+1161+U+11FA	관악
U+1101+U+117E	연구
U+1101+U+117E+U+11AF	겨울
U+1101+U+1169+U+11FA	외국인
U+1101+U+D7B0	연극
U+1101+U+D7B0+U+11AB	의견
U+1101+U+1189	요구
U+1101+U+1189+U+11AF	개월
U+1101+U+D7BB	예금
U+1101+U+D7BC	요금
U+1101+U+1195	꾸는 
U+1101+U+D7BF	께서 
U+1101+U+119E	을까? 
U+1101+U+119E+U+11AF	가을
U+1101+U+119E+U+11B7	가끔 
U+1101+U+119E+U+11BA	깨끗
U+1101+U+11A2	거의 
U+1101+U+11A2+U+11AB	근원
U+1101+U+11A2+U+11AF	걸음
U+F809+U+1160+U+11A8	중국
U+F809+U+1160+U+11A9	충격
U+F809+U+1160+U+11FA	건축
U+F809+U+1160+U+11AB	친구
U+F809+U+1160+U+11AC	관찰
U+F809+U+1160+U+11AD	괜찮
U+F809+U+1160+U+11AF	경찰
U+F809+U+1160+U+11B2	껍질
U+F809+U+1160+U+11B5	중소기업
U+F809+U+1160+U+11B7	지금
U+F809+U+1160+U+11B8	갑자기 
U+F809+U+1160+U+11BA	거짓
U+F809+U+1160+U+11BC	가장 
U+F809+U+1160+U+11C0	잠깐
U+F809+U+1161	자기
U+F809+U+1161+U+11A8	작가
U+F809+U+1161+U+11AB	관계자
U+F809+U+1161+U+11AD	장관
U+F809+U+1161+U+11B7	참가
U+F809+U+1161+U+11BC	공장
U+F809+U+1162	가지
U+F809+U+1162+U+11A8	개인적
U+F809+U+1162+U+11AB	전개
U+F809+U+1162+U+11BC	경쟁
U+F809+U+1165	저기
U+F809+U+1165+U+11A8	걱정
U+F809+U+1165+U+11AB	조건
U+F809+U+1165+U+11B7	검찰
U+F809+U+1165+U+11B8	접근
U+F809+U+1165+U+11BC	가정
U+F809+U+1166	구체적
U+F809+U+1166+U+11BC	제공
U+F809+U+1167	가져
U+F809+U+1167+U+11A8	자격
U+F809+U+1167+U+11AF	결정
U+F809+U+1167+U+11BC	경제
U+F809+U+1168	체계
U+F809+U+1169	최고
U+F809+U+1169+U+11A8	가족
U+F809+U+1169+U+11AB	기존
U+F809+U+1169+U+11AD	주인공
U+F809+U+1169+U+11BC	각종
U+F809+U+116A	과정
U+F809+U+116A+U+11A8	과학자
U+F809+U+116A+U+11AB	관점
U+F809+U+116A+U+11BC	강조
U+F809+U+116C	초기
U+F809+U+116C+U+11A8	귀족
U+F809+U+116C+U+11AB	최근 
U+F809+U+116C+U+11BC	굉장
U+F809+U+116D	종교
U+F809+U+116D+U+11AB	자전거
U+F809+U+116D+U+11B7	감정
U+F809+U+116D+U+11BC	교장
U+F809+U+116E	구조
U+F809+U+116E+U+11A8	축구
U+F809+U+116E+U+11AB	기준
U+F809+U+116E+U+11AD	주인공
U+F809+U+116E+U+11AF	줄기
U+F809+U+116E+U+11BC	중간
U+F809+U+1189	자꾸 
U+F809+U+1189+U+11AB	장군
U+F809+U+1189+U+11BC	광주
U+F809+U+116F	전국
U+F809+U+116F+U+11A8	과학적
U+F809+U+116F+U+11AB	정권
U+F809+U+1170+U+11A8	국제
U+F809+U+1171	치게
U+F809+U+1172	규정
U+F809+U+1173	그저 
U+F809+U+1173+U+11A8	자극
U+F809+U+1173+U+11AB	근처
U+F809+U+1173+U+11AF	즐거운 
U+F809+U+1173+U+11B7	자금
U+F809+U+D7BB	계층
U+F809+U+D7BC	조그
U+F809+U+1195	그중
U+F809+U+1174	그렇지
U+F809+U+1174+U+11B7	금지
U+F809+U+1175	까지 
U+F809+U+1175+U+11AB	전기
U+F809+U+1175+U+11AD	긴장
U+F809+U+1175+U+11AF	거칠
U+F809+U+1175+U+11B4	김정
U+F809+U+1175+U+11B7	김치
U+F809+U+1175+U+11BC	지경
U+F809+U+1198	과제
U+F809+U+1198+U+11BC	강제
U+F809+U+D7BF	제거
U+F809+U+D7BF+U+11AF	계절
U+F809+U+D7C4	여기저기
U+F809+U+D7C4+U+11BC	경제적
U+F809+U+119E	글자
U+F809+U+119E+U+11A8	극장
U+F809+U+119E+U+11B7	그림자
U+F809+U+119E+U+11BC	증가
U+F809+U+11A2	적극
U+F809+U+11A2+U+11A8	적극적
U+F809+U+11A2+U+11AB	증권
U+F809+U+11A2+U+11BC	증거
U+1102+U+1160+U+11A8	녀석
U+1102+U+1160+U+11AB	내년
U+1102+U+1160+U+11AC	눈길
U+1102+U+1160+U+11AF	그날
U+1102+U+1160+U+11B2	넓은 
U+1102+U+1160+U+11B7	남성
U+1102+U+1160+U+11BC	가능
U+1102+U+1160+U+11BE	눈빛
U+1102+U+1160+U+11C1	높이
U+1102+U+1160+U+11C2	내놓
U+1102+U+1189	누나
U+1102+U+D7BC	느냐? 
U+1102+U+D7BC+U+11AB	고는 
U+1102+U+D7BC+U+11BC	그냥 
U+1102+U+1198	나게 
U+1102+U+119E	나는 
U+1102+U+119E+U+11AB	는가
U+1102+U+119E+U+11AF	낮은 
U+1102+U+119E+U+11BC	않는 
U+1102+U+11A1	내는 
U+1102+U+11A2	느냐? 
U+1115+U+1160	, 
U+1115+U+1160+U+11AB	는데
U+1115+U+1160+U+11BA	인터넷
U+1115+U+1160+U+11BC	노동
U+1115+U+1161	나타
U+1115+U+1161+U+11BC	노동자
U+1115+U+1162	다니
U+1115+U+1165	더니 
U+1115+U+1167+U+11AB	년대
U+1115+U+1168	는데도 
U+1115+U+1169	또는 
U+1115+U+1169+U+11BC	동네
U+1115+U+116C	되는 
U+1115+U+1171	되는데
U+1115+U+1173	드는 
U+1115+U+1173+U+11AB	다는 
U+1115+U+1175	니다. 
U+1115+U+119E	는다. 
U+1103+U+1160+U+11A8	대학
U+1103+U+1160+U+11AB	다른 
U+1103+U+1160+U+11AC	들은 
U+1103+U+1160+U+11AD	당연
U+1103+U+1160+U+11AF	들이 
U+1103+U+1160+U+11B4	담당
U+1103+U+1160+U+11B7	다음
U+1103+U+1160+U+11B8	대답
U+1103+U+1160+U+11BA	듯이 
U+1103+U+1160+U+11BC	다양
U+1103+U+1189	무대
U+1103+U+1189+U+11AB	다운 
U+1103+U+D7BC	독특
U+1103+U+1195	문득 
U+1103+U+1198+U+11AB	단체
U+1103+U+119E	만들
U+1103+U+11A2+U+11AF	들어
U+1117+U+1160+U+11A8	기독교
U+1117+U+1160+U+11AB	가운데
U+1117+U+1160+U+11AD	그동안
U+1117+U+1160+U+11AF	갈등
U+1117+U+1160+U+11B0	까닭
U+1117+U+1160+U+11B7	감독
U+1117+U+1160+U+11BA	되겠
U+1117+U+1160+U+11BC	공동
U+1117+U+1161	다가
U+1117+U+1161+U+11AB	간단
U+1117+U+1161+U+11AF	달걀
U+1117+U+1161+U+11B7	감동
U+1117+U+1162	기대
U+1117+U+1165	거대
U+1117+U+1165+U+11AB	던가? 
U+1117+U+1165+U+11BA	것도 
U+1117+U+1166+U+11AB	단계
U+1117+U+1168	계단
U+1117+U+1169	검토
U+1117+U+1169+U+11BC	고통
U+1117+U+116A	다고
U+1117+U+116B	고대
U+1117+U+116C	기도
U+1117+U+116D+U+11BC	교통
U+1117+U+116E	구두
U+1117+U+116E+U+11AB	군대
U+1117+U+1189	더구나 
U+1117+U+116F+U+11AB	더군. 
U+1117+U+1173	그대
U+1117+U+1173+U+11A8	가득 
U+1117+U+1173+U+11AB	근데 
U+1117+U+1173+U+11BC	고등
U+1117+U+D7BC	코드
U+1117+U+1175	기다
U+1117+U+1175+U+11BC	동기
U+1117+U+1198	게다가 
U+1117+U+119E	그때
U+1117+U+119E+U+11AB	든가
U+1117+U+11A2	뜨거운 
U+1117+U+11A2+U+11AB	거든
U+1117+U+11A2+U+11B8	거듭
U+1104+U+1160+U+11A8	더욱 
U+1104+U+1160+U+11AB	때문
U+1104+U+1160+U+11AC	일단 
U+1104+U+1160+U+11AD	동안
U+1104+U+1160+U+11AF	들의 
U+1104+U+1160+U+11B0	독일
U+1104+U+1160+U+11B7	도움
U+1104+U+1160+U+11B8	도입
U+1104+U+1160+U+11BA	되었
U+1104+U+1160+U+11BC	운동
U+1104+U+1160+U+11C2	어떻
U+1104+U+D7BB	은데
U+1104+U+D7BC	의도
U+1104+U+1198	에다 
U+1104+U+119E	따뜻
U+1104+U+11A2	드디어 
U+1104+U+11A2+U+11AF	떠들
U+115E+U+1160+U+11A8	도록 
U+115E+U+1160+U+11AD	오랫동안
U+115E+U+1160+U+11AF	달리
U+115E+U+1160+U+11BC	대통령
U+115E+U+1161	따라
U+115E+U+1161+U+11AF	달라
U+115E+U+1162	대로 
U+115E+U+1164	고려
U+115E+U+1165	따라서 
U+115E+U+1166	텔레비전
U+115E+U+1169	따로 
U+115E+U+1169+U+11AB	토론
U+115E+U+1169+U+11BC	동료
U+115E+U+116A	라도 
U+115E+U+116B	때로 
U+115E+U+116D	더라. 
U+115E+U+1189	아무래도 
U+115E+U+1173	그대로 
U+115E+U+1173+U+11BC	등록
U+115E+U+1175	다리
U+115E+U+1175+U+11B8	독립
U+115E+U+119E	드라마
U+115E+U+11A2	드러
U+A962+U+1160+U+11A8	속도
U+A962+U+1160+U+11A9	특성
U+A962+U+1160+U+11AB	당신
U+A962+U+1160+U+11B9	 수도 없
U+A962+U+1160+U+11BA	 수도 있
U+A962+U+1160+U+11BC	당시
U+A962+U+1161	시다. 
U+A962+U+1161+U+11AB	수단
U+A962+U+1161+U+11BC	대상
U+A962+U+1162	다시 
U+A962+U+1162+U+11A8	택시
U+A962+U+1162+U+11A9	상대적
U+A962+U+1162+U+11BC	동생
U+A962+U+1165+U+11AB	선택
U+A962+U+1165+U+11AF	설탕
U+A962+U+1166	세대
U+A962+U+1166+U+11B7	시스템
U+A962+U+1169	도시
U+A962+U+1169+U+11BC	동시
U+A962+U+116A	다소 
U+A962+U+116B	또다시 
U+A962+U+116C	시도
U+A962+U+116E	수도
U+A962+U+116E+U+11AB	단순
U+A962+U+1189	다수
U+A962+U+116F	도서관
U+A962+U+1173	스트레스
U+A962+U+1173+U+11A8	소득
U+A962+U+1195	특수
U+A962+U+1175	시대
U+A962+U+1175+U+11A8	식당
U+A962+U+1175+U+11AB	대신
U+A962+U+119E	스타
U+A962+U+119E+U+11AF	스타일
U+A963+U+1160+U+11A8	적당
U+A963+U+1160+U+11A9	동작
U+A963+U+1160+U+11AB	든지 
U+A963+U+1160+U+11AF	절대
U+A963+U+1160+U+11B7	다짐
U+A963+U+1160+U+11B8	집단
U+A963+U+1161	자동차
U+A963+U+1161+U+11A8	도착
U+A963+U+1161+U+11AB	단지
U+A963+U+1161+U+11AF	전달
U+A963+U+1161+U+11BC	당장
U+A963+U+1162	제대로 
U+A963+U+1162+U+11A8	대책
U+A963+U+1165+U+11A8	적어도 
U+A963+U+1165+U+11FA	전통적
U+A963+U+1165+U+11AB	전통
U+A963+U+1165+U+11BC	정당
U+A963+U+1166	제도
U+A963+U+1168+U+11BC	통제
U+A963+U+1169	토지
U+A963+U+1169+U+11A8	동쪽
U+A963+U+116A	청와대
U+A963+U+116E	투쟁
U+A963+U+116E+U+11A8	주택
U+A963+U+116E+U+11BC	대중
U+A963+U+1189	투자
U+A963+U+116F+U+11AB	전도
U+A963+U+1173+U+11A8	특징
U+A963+U+1173+U+11AB	든지
U+A963+U+1173+U+11BC	등장
U+A963+U+1175	지도
U+A963+U+1175+U+11AB	진단
U+A963+U+1175+U+11B7	침대
U+A963+U+1198	대체
U+A963+U+119E	잔뜩
U+A963+U+11A2	어쨌든 
U+1105+U+1160+U+11AB	이런 
U+1105+U+1160+U+11AF	달러
U+1105+U+1160+U+11B7	여름
U+1105+U+117E	우려
U+1105+U+1189	아무리 
U+1105+U+1195	루는 
U+1105+U+1198	라게 
U+1105+U+D7C4	여러 
U+1105+U+119E	라는 
U+1105+U+11A2	그러므로 
U+A964+U+1160+U+11A8	권력
U+A964+U+1160+U+11AB	그런 
U+A964+U+1160+U+11AF	이데올로기
U+A964+U+1160+U+11B7	그램
U+A964+U+1160+U+11B8	그룹
U+A964+U+1160+U+11BA	그랬
U+A964+U+1160+U+11C2	그렇
U+A964+U+1161	그러나 
U+A964+U+1161+U+11A8	가락
U+A964+U+1161+U+11AB	커다란 
U+A964+U+1161+U+11BC	강력
U+A964+U+1162	그래
U+A964+U+1164	고려
U+A964+U+1165	그래서 
U+A964+U+1165+U+11B7	그럼 
U+A964+U+1166	그런데 
U+A964+U+1167	려고 
U+A964+U+1167+U+11AB	관련
U+A964+U+1167+U+11BC	가령 
U+A964+U+1168	롭게 
U+A964+U+1169	그리고 
U+A964+U+1169+U+11A8	기록
U+A964+U+1169+U+11AB	결론
U+A964+U+116A	라고
U+A964+U+116A+U+11AB	관리
U+A964+U+D7B0	그리하여 
U+A964+U+116C	꼬리
U+A964+U+116E	고구려
U+A964+U+1189	가루
U+A964+U+116F+U+11AB	권리
U+A964+U+1173	그래도 
U+A964+U+1173+U+11AB	근로
U+A964+U+1173+U+11B7	기름
U+A964+U+1173+U+11BA	그릇
U+A964+U+D7BC	그러므로 
U+A964+U+1195	구름
U+A964+U+1174	그리
U+A964+U+1175	거리
U+A964+U+1175+U+11AF	킬로
U+A964+U+1175+U+11B7	그림
U+A964+U+D7C4	그러려고 
U+A964+U+D7C4+U+11AB	그러려면 
U+A964+U+119E	가르
U+A964+U+11A2	그러
U+A968+U+1160+U+11AB	물론 
U+A968+U+1160+U+11AF	멀리 
U+A968+U+1160+U+11BC	명령
U+A968+U+1161	마리
U+A968+U+1161+U+11AB	마련
U+A968+U+1161+U+11AF	야말로 
U+A968+U+1162	미래
U+A968+U+1162+U+11A8	매력
U+A968+U+1165	머리
U+A968+U+1165+U+11AB	아무런 
U+A968+U+1167	려면 
U+A968+U+1167+U+11AB	라면
U+A968+U+117E	무려 
U+A968+U+1169	모래
U+A968+U+1169+U+11AF	몰래 
U+A968+U+116E	무리
U+A968+U+116E+U+11AF	물리
U+A968+U+1189	마루
U+A968+U+1173	므로 
U+A968+U+1175	미리 
U+A968+U+1175+U+11AB	미련
U+A968+U+1175+U+11AF	밀리
U+A969+U+1160+U+11A8	비록 
U+A969+U+1160+U+11AF	빨리 
U+A969+U+1160+U+11B0	바람직
U+A969+U+1160+U+11B7	바람
U+A969+U+1160+U+11BA	비롯
U+A969+U+1160+U+11BC	프랑스
U+A969+U+1161	바라
U+A969+U+1165+U+11B8	법률
U+A969+U+1167+U+11AF	별로 
U+A969+U+1169	바로 
U+A969+U+1169+U+11A8	폭력
U+A969+U+1169+U+11AB	본래
U+A969+U+116C	피로
U+A969+U+116C+U+11A8	올림픽
U+A969+U+116E	뿌리
U+A969+U+1173	프로
U+A969+U+1173+U+11BA	버릇
U+A969+U+1175	편리
U+A96D+U+1160+U+11AB	전략
U+A96D+U+1160+U+11B0	침략
U+A96D+U+1160+U+11B7	처럼 
U+A96D+U+1160+U+11BC	종류
U+A96D+U+1160+U+11C2	저렇
U+A96D+U+1161	자료
U+A96D+U+1161+U+11BC	자랑
U+A96D+U+1162	재료
U+A96D+U+1163+U+11BC	차량
U+A96D+U+1165	처리
U+A96D+U+1165+U+11BC	정리
U+A96D+U+1168	차례
U+A96D+U+1169+U+11A8	오른쪽
U+A96D+U+1169+U+11BC	총리
U+A96D+U+116C	치료
U+A96D+U+116E	주로 
U+A96D+U+1173	적으로 
U+A96D+U+1175	자리
U+A96D+U+1175+U+11AB	진리
U+111A+U+1160+U+11AB	훈련
U+111A+U+1160+U+11B7	흐름
U+111A+U+1160+U+11BC	훌륭
U+111A+U+1161	하루
U+111A+U+1161+U+11BC	호랑이
U+111A+U+1162+U+11B8	합리
U+111A+U+1165	허리
U+111A+U+116A	화려
U+111A+U+1175	차라리 
U+111B+U+1160+U+11A8	노력
U+111B+U+1160+U+11AB	논리
U+111B+U+1160+U+11AF	널리 
U+111B+U+1160+U+11B7	나름
U+111B+U+1160+U+11BC	능력
U+111B+U+1161	나라
U+111B+U+1162	내려
U+111B+U+1169	노래
U+111B+U+1173	르는 
U+111B+U+1174	리는 
U+111B+U+1175	그러니
U+1106+U+1160+U+11A8	미국
U+1106+U+1160+U+11FA	만약
U+1106+U+1160+U+11AB	문화
U+1106+U+1160+U+11AC	물건
U+1106+U+1160+U+11AD	많이 
U+1106+U+1160+U+11AE	믿음
U+1106+U+1160+U+11AF	물질
U+1106+U+1160+U+11B0	골목
U+1106+U+1160+U+11B7	마음
U+1106+U+1160+U+11B8	업무
U+1106+U+1160+U+11BA	무엇
U+1106+U+1160+U+11BB	맛있
U+1106+U+1160+U+11BC	모양
U+1106+U+1160+U+11C1	무릎
U+1106+U+117E	무역
U+1106+U+117E+U+11AB	운명
U+1106+U+117E+U+11B8	무렵
U+1106+U+117E+U+11BC	유명
U+1106+U+1189	매우 
U+1106+U+1189+U+11AB	대문
U+1106+U+1189+U+11AF	물가
U+1106+U+D7BC	모든 
U+1106+U+1195	의무
U+1106+U+119E	마을
U+1106+U+119E+U+11AB	많은 
U+1106+U+11A2	먹는 
U+111C+U+1160+U+11A8	목표
U+111C+U+1160+U+11AB	반면
U+111C+U+1160+U+11AF	비밀
U+111C+U+1160+U+11B7	부모님
U+111C+U+1160+U+11BC	분명
U+111C+U+1161+U+11A8	박물관
U+111C+U+1161+U+11AF	불만
U+111C+U+1161+U+11BC	방문
U+111C+U+1162	판매
U+111C+U+116D	표면
U+111C+U+116E	부모
U+111C+U+116E+U+11AB	부문
U+111C+U+1175+U+11BC	분명히 
U+F852+U+1160+U+11A8	민족
U+F852+U+1160+U+11FA	만족
U+F852+U+1160+U+11AB	지만 
U+F852+U+1160+U+11AD	장면
U+F852+U+1160+U+11AF	정말
U+F852+U+1160+U+11B7	마침 
U+F852+U+1160+U+11BA	잘못
U+F852+U+1161	마자 
U+F852+U+1161+U+11A8	마지막
U+F852+U+1161+U+11AB	마찬가지
U+F852+U+1161+U+11AD	창문
U+F852+U+1161+U+11AF	주말
U+F852+U+1161+U+11BC	전망
U+F852+U+1162	재미
U+F852+U+1165	마저 
U+F852+U+1165+U+11A8	무척 
U+F852+U+1165+U+11AB	먼저
U+F852+U+1166	문제
U+F852+U+1166+U+11B7	문제점
U+F852+U+1167	며칠
U+F852+U+1167+U+11AB	자면 
U+F852+U+1168	제목
U+F852+U+1169+U+11A8	목적
U+F852+U+116C	조미료
U+F852+U+116E	주민
U+F852+U+116E+U+11AB	문자
U+F852+U+116E+U+11BC	민중
U+F852+U+1189	마주 
U+F852+U+116F	주먹
U+F852+U+116F+U+11AB	전문
U+F852+U+1175	마치 
U+F852+U+1175+U+11AB	민주
U+F852+U+1175+U+11AF	질문
U+111D+U+1160	! 
U+111D+U+1160+U+11AB	논문
U+111D+U+1160+U+11AF	눈물
U+111D+U+1160+U+11BC	농민
U+111D+U+1161	나마 
U+111D+U+1161+U+11AB	농산물
U+111D+U+1165	너무 
U+111D+U+1166	만나게 
U+111D+U+116E	주머니
U+111D+U+1189	나무
U+111D+U+1173	모르는 
U+111D+U+1173+U+11AB	맞는 
U+111D+U+1173+U+11AF	마늘
U+111D+U+1175	나머지
U+1107+U+1160+U+11A9	밖에 
U+1107+U+1160+U+11AB	부분
U+1107+U+1160+U+11AC	불안
U+1107+U+1160+U+11AE	받아
U+1107+U+1160+U+11AF	발표
U+1107+U+1160+U+11B2	불법
U+1107+U+1160+U+11B7	범위
U+1107+U+1160+U+11B8	방법
U+1107+U+1160+U+11BF	부엌
U+1107+U+1189	바위
U+1107+U+1189+U+11AB	후반
U+1107+U+119E	받은 
U+111E+U+1160+U+11A8	극복
U+111E+U+1160+U+11AB	분위기
U+111E+U+1160+U+11AD	평균
U+111E+U+1160+U+11AF	개발
U+111E+U+1160+U+11BC	공부
U+111E+U+1160+U+11C0	바깥
U+111E+U+1161+U+11AB	반갑
U+111E+U+1161+U+11AF	발견
U+111E+U+1161+U+11BC	가방
U+111E+U+1162	배경
U+111E+U+1162+U+11BC	개방
U+111E+U+1165	커피
U+111E+U+1166	쁘게 
U+111E+U+1167+U+11AF	판결
U+111E+U+1167+U+11BC	평가
U+111E+U+1169	보고
U+111E+U+1169+U+11A8	본격적
U+111E+U+1169+U+11AB	기본
U+111E+U+1169+U+11BC	공포
U+111E+U+116A	불과
U+111E+U+116A+U+11AB	보관
U+111E+U+116C	포기
U+111E+U+116D	비교
U+111E+U+116D+U+11A8	비교적
U+111E+U+116E	불구
U+111E+U+116E+U+11AB	구분
U+111E+U+116E+U+11AF	불교
U+111E+U+1189	간부
U+111E+U+116F	거부
U+111E+U+1173	프게 
U+111E+U+1173+U+11A8	근본적
U+111E+U+1173+U+11B7	금방 
U+111E+U+1195	부끄
U+111E+U+1174	기쁨
U+111E+U+1174+U+11A8	비극
U+111E+U+1175	기분
U+111E+U+1175+U+11A8	기본적
U+111E+U+1175+U+11BC	비행기
U+111E+U+1198	카페
U+111E+U+119E+U+11A8	비극
U+1120+U+1160	. 
U+1120+U+1160+U+11A8	특별
U+1120+U+1160+U+11AB	대부분
U+1120+U+1160+U+11AF	발달
U+1120+U+1160+U+11B7	담배
U+1120+U+1160+U+11BC	바탕
U+1120+U+1160+U+11BD	부딪
U+1120+U+1161	다. 
U+1120+U+1161+U+11A8	바닥
U+1120+U+1161+U+11AB	판단
U+1120+U+1162	부대
U+1120+U+1162+U+11AB	반대
U+1120+U+1162+U+11BC	상대방
U+1120+U+1165	퍼센트
U+1120+U+1169	보다 
U+1120+U+1169+U+11AD	부동산
U+1120+U+1169+U+11BC	보통
U+1120+U+116A	도 불구하고 
U+1120+U+116A+U+11AB	반도
U+1120+U+116C	비디오
U+1120+U+116D	대표
U+1120+U+116D+U+11A8	대표적
U+1120+U+116E	부터 
U+1120+U+1189	부담
U+1120+U+1189+U+11A8	부탁
U+1120+U+1172	부도
U+1120+U+1173	부드
U+1120+U+1173+U+11AB	반드시 
U+1120+U+1174	티브이
U+1120+U+1175	대비
U+1108+U+1160+U+11A8	파악
U+1108+U+1160+U+11AB	이번 
U+1108+U+1160+U+11AC	일반
U+1108+U+1160+U+11AD	방안
U+1108+U+1160+U+11AF	일본
U+1108+U+1160+U+11BA	벗어
U+1108+U+1160+U+11BC	병원
